doc_id,doi,title,lib,class_name,chunk_count,reaction_system,raw_reaction_system,confidence,status
doc_0044,10.1002/aenm.201801280,10.1002/aenm.201801280,lib1,classA,127,CO2RR,CO2RR,0.92,ok
doc_0045,10.1002/aenm.201801926,10.1002/aenm.201801926,lib1,classA,78,other_reaction,other_reaction,0.86,ok
doc_0046,10.1002/aenm.201802238,10.1002/aenm.201802238,lib1,classA,86,CO2RR,CO2RR,0.9,ok
doc_0047,10.1002/aenm.201803536,10.1002/aenm.201803536,lib1,classA,91,CO2RR,CO2RR,0.95,ok
doc_0048,10.1002/aenm.201900072,10.1002/aenm.201900072,lib1,classA,84,CO2RR,CO2RR,0.93,ok
doc_0049,10.1002/aenm.201901228,10.1002/aenm.201901228,lib1,classA,102,CO2RR,CO2RR,0.96,ok
doc_0050,10.1002/aenm.201901396,10.1002/aenm.201901396,lib1,classA,73,CO2RR,CO2RR,0.92,ok
doc_0051,10.1002/aenm.201902433,10.1002/aenm.201902433,lib1,classA,110,other_reaction,other_reaction,0.88,ok
doc_0052,10.1002/aenm.201903879,10.1002/aenm.201903879,lib1,classA,201,CO2RR,CO2RR,0.78,ok
doc_0053,10.1002/aenm.201970107,10.1002/aenm.201970107,lib1,classA,4,unknown,unknown,0.25,ok
doc_0055,10.1002/aenm.202002592,10.1002/aenm.202002592,lib1,classA,72,other_reaction,other_reaction,0.88,ok
doc_0056,10.1002/aenm.202002928,10.1002/aenm.202002928,lib1,classA,64,CO2RR,CO2RR,0.94,ok
doc_0057,10.1002/aenm.202003159,10.1002/aenm.202003159,lib1,classA,125,non_reaction,non_reaction,0.72,ok
doc_0059,10.1002/aenm.202101424,10.1002/aenm.202101424,lib1,classA,128,CO2RR,CO2RR,0.93,ok
doc_0060,10.1002/ange.201107352,10.1002/ange.201107352,lib1,classA,24,unknown,unknown,0.25,ok
doc_0061,10.1002/ange.201203607,10.1002/ange.201203607,lib1,classA,48,CO2RR,CO2RR,0.75,ok
doc_0062,10.1002/ange.201205741,10.1002/ange.201205741,lib1,classA,20,unknown,unknown,0.25,ok
doc_0063,10.1002/ange.201208750,10.1002/ange.201208750,lib1,classA,14,unknown,unknown,0.08,ok
doc_0064,10.1002/ange.201301470,10.1002/ange.201301470,lib1,classA,49,both,both,0.9,ok
doc_0065,10.1002/ange.201407357,10.1002/ange.201407357,lib1,classA,28,unknown,unknown,0.09,ok
doc_0066,10.1002/ange.201412214,10.1002/ange.201412214,lib1,classA,32,unknown,unknown,0.1,ok
doc_0067,10.1002/ange.201502099,10.1002/ange.201502099,lib1,classA,53,CORR,CORR,0.85,ok
doc_0068,10.1002/ange.201503455,10.1002/ange.201503455,lib1,classA,55,non_reaction,non_reaction,0.85,ok
doc_0069,10.1002/ange.201508851,10.1002/ange.201508851,lib1,classA,77,CORR,CORR,0.93,ok
doc_0070,10.1002/ange.201601582,10.1002/ange.201601582,lib1,classA,61,CO2RR,CO2RR,0.93,ok
doc_0071,10.1002/ange.201604654,10.1002/ange.201604654,lib1,classA,58,CO2RR,CO2RR,0.95,ok
doc_0072,10.1002/ange.201608597,10.1002/ange.201608597,lib1,classA,44,unknown,unknown,0.15,ok
doc_0073,10.1002/ange.201700580,10.1002/ange.201700580,lib1,classA,33,unknown,unknown,0.14,ok
doc_0074,10.1002/ange.201706311,10.1002/ange.201706311,lib1,classA,56,unknown,unknown,0.12,ok
doc_0075,10.1002/ange.201712451,10.1002/ange.201712451,lib1,classA,50,unknown,unknown,0.25,ok
doc_0076,10.1002/ange.201802083,10.1002/ange.201802083,lib1,classA,62,CO2RR,CO2RR,0.95,ok
doc_0077,10.1002/ange.201805871,10.1002/ange.201805871,lib1,classA,71,unknown,unknown,0.12,ok
doc_0078,10.1002/ange.201907994,10.1002/ange.201907994,lib1,classA,34,CO2RR,CO2RR,0.95,ok
doc_0079,10.1002/ange.201909257,10.1002/ange.201909257,lib1,classA,76,both,both,0.78,ok
doc_0080,10.1002/ange.201910155,10.1002/ange.201910155,lib1,classA,87,CO2RR,CO2RR,0.95,ok
doc_0081,10.1002/ange.201910662,10.1002/ange.201910662,lib1,classA,70,unknown,unknown,0.8,ok
doc_0082,10.1002/ange.201911550,10.1002/ange.201911550,lib1,classA,32,unknown,unknown,0.05,ok
doc_0083,10.1002/ange.201912348,10.1002/ange.201912348,lib1,classA,62,CO2RR,CO2RR,0.9,ok
doc_0084,10.1002/ange.202005274,10.1002/ange.202005274,lib1,classA,48,CO2RR,CO2RR,0.95,ok
doc_0086,10.1002/ange.202011836,10.1002/ange.202011836,lib1,classA,46,both,both,0.92,ok
doc_0087,10.1002/ange.202016332,10.1002/ange.202016332,lib1,classA,40,unknown,unknown,0.05,ok
doc_0089,10.1002/ange.202108902,10.1002/ange.202108902,lib1,classA,47,unknown,unknown,0.85,ok
doc_0090,10.1002/cssc.201200564,10.1002/cssc.201200564,lib1,classA,72,other_reaction,other_reaction,0.95,ok
doc_0091,10.1002/cssc.201501591,10.1002/cssc.201501591,lib1,classA,75,CO2RR,CO2RR,0.92,ok
doc_0092,10.1002/cssc.201600165,10.1002/cssc.201600165,lib1,classA,78,other_reaction,other_reaction,0.9,ok
doc_0093,10.1002/cssc.201600394,10.1002/cssc.201600394,lib1,classA,108,CO2RR,CO2RR,0.9,ok
doc_0094,10.1002/cssc.201701825,10.1002/cssc.201701825,lib1,classA,96,CO2RR,CO2RR,0.93,ok
doc_0095,10.1002/cssc.201702262,10.1002/cssc.201702262,lib1,classA,72,CORR,CORR,0.92,ok
doc_0096,10.1002/cssc.201902833,10.1002/cssc.201902833,lib1,classA,76,unknown,unknown,0.12,ok
doc_0097,10.1002/cssc.202002904,10.1002/cssc.202002904,lib1,classA,98,CO2RR,CO2RR,0.9,ok
doc_0098,10.1016/j.apcatb.2004.01.023,10.1016/j.apcatb.2004.01.023,lib1,classA,75,other_reaction,other_reaction,0.86,ok
doc_0099,10.1016/j.apcatb.2007.12.005,10.1016/j.apcatb.2007.12.005,lib1,classA,74,other_reaction,other_reaction,0.92,ok
doc_0100,10.1016/j.apcatb.2011.11.003,10.1016/j.apcatb.2011.11.003,lib1,classA,86,other_reaction,other_reaction,0.95,ok
doc_0101,10.1016/j.apcatb.2011.11.029,10.1016/j.apcatb.2011.11.029,lib1,classA,69,other_reaction,other_reaction,0.9,ok
doc_0102,10.1016/j.apcatb.2012.06.006,10.1016/j.apcatb.2012.06.006,lib1,classA,96,other_reaction,other_reaction,0.85,ok
doc_0103,10.1016/j.apcatb.2012.11.020,10.1016/j.apcatb.2012.11.020,lib1,classA,93,other_reaction,other_reaction,0.87,ok
doc_0104,10.1016/j.apcatb.2015.05.012,10.1016/j.apcatb.2015.05.012,lib1,classA,62,other_reaction,other_reaction,0.92,ok
doc_0105,10.1016/j.apcatb.2016.08.021,10.1016/j.apcatb.2016.08.021,lib1,classA,111,other_reaction,other_reaction,0.96,ok
doc_0106,10.1016/j.apcatb.2017.03.018,10.1016/j.apcatb.2017.03.018,lib1,classA,47,CO2RR,CO2RR,0.75,ok
doc_0107,10.1016/j.apcatb.2018.02.017,10.1016/j.apcatb.2018.02.017,lib1,classA,66,CO2RR,CO2RR,0.95,ok
doc_0108,10.1016/j.apcatb.2018.04.060,10.1016/j.apcatb.2018.04.060,lib1,classA,82,CO2RR,CO2RR,0.75,ok
doc_0109,10.1016/j.apcatb.2018.10.021,10.1016/j.apcatb.2018.10.021,lib1,classA,90,CO2RR,CO2RR,0.86,ok
doc_0110,10.1016/j.apcatb.2018.11.037,10.1016/j.apcatb.2018.11.037,lib1,classA,60,other_reaction,other_reaction,0.92,ok
doc_0111,10.1016/j.apcatb.2019.02.013,10.1016/j.apcatb.2019.02.013,lib1,classA,74,CO2RR,CO2RR,0.92,ok
doc_0112,10.1016/j.apcatb.2019.02.045,10.1016/j.apcatb.2019.02.045,lib1,classA,117,CO2RR,CO2RR,0.93,ok
doc_0113,10.1016/j.apcatb.2019.117950,10.1016/j.apcatb.2019.117950,lib1,classA,77,CO2RR,CO2RR,0.93,ok
doc_0114,10.1016/j.apcatb.2020.118747,10.1016/j.apcatb.2020.118747,lib1,classA,105,CO2RR,CO2RR,0.95,ok
doc_0115,10.1016/j.apcatb.2020.119738,10.1016/j.apcatb.2020.119738,lib1,classA,85,other_reaction,other_reaction,0.95,ok
doc_0116,10.1016/j.apcatb.2020.119787,10.1016/j.apcatb.2020.119787,lib1,classA,13,unknown,unknown,0.12,ok
doc_0117,10.1016/j.apcatb.2021.120030,10.1016/j.apcatb.2021.120030,lib1,classA,66,CO2RR,CO2RR,0.95,ok
doc_0118,10.1016/j.apcatb.2021.120073,10.1016/j.apcatb.2021.120073,lib1,classA,145,other_reaction,other_reaction,0.86,ok
doc_0119,10.1016/j.apcatb.2021.120147,10.1016/j.apcatb.2021.120147,lib1,classA,96,CO2RR,CO2RR,0.91,ok
doc_0120,10.1016/j.apcatb.2021.120162,10.1016/j.apcatb.2021.120162,lib1,classA,168,non_reaction,non_reaction,0.92,ok
doc_0121,10.1016/j.apcatb.2021.120386,10.1016/j.apcatb.2021.120386,lib1,classA,73,other_reaction,other_reaction,0.92,ok
doc_0122,10.1016/j.apcatb.2021.120390,10.1016/j.apcatb.2021.120390,lib1,classA,80,other_reaction,other_reaction,0.93,ok
doc_0123,10.1016/j.checat.2021.01.003,10.1016/j.checat.2021.01.003,lib1,classA,113,CO2RR,CO2RR,0.87,ok
doc_0124,10.1016/j.chempr.2017.08.002,10.1016/j.chempr.2017.08.002,lib1,classA,91,CO2RR,CO2RR,0.95,ok
doc_0125,10.1016/j.chempr.2017.09.009,10.1016/j.chempr.2017.09.009,lib1,classA,179,CO2RR,CO2RR,0.9,ok
doc_0126,10.1016/j.chempr.2018.05.001,10.1016/j.chempr.2018.05.001,lib1,classA,129,CO2RR,CO2RR,0.93,ok
doc_0127,10.1016/j.chempr.2018.05.019,10.1016/j.chempr.2018.05.019,lib1,classA,177,both,both,0.82,ok
doc_0128,10.1016/j.chempr.2018.08.019,10.1016/j.chempr.2018.08.019,lib1,classA,99,CO2RR,CO2RR,0.9,ok
doc_0129,10.1016/j.chempr.2019.04.006,10.1016/j.chempr.2019.04.006,lib1,classA,124,CO2RR,CO2RR,0.92,ok
doc_0130,10.1016/j.chempr.2019.06.019,10.1016/j.chempr.2019.06.019,lib1,classA,97,CO2RR,CO2RR,0.88,ok
doc_0131,10.1016/j.chempr.2020.01.005,10.1016/j.chempr.2020.01.005,lib1,classA,123,CO2RR,CO2RR,0.8,ok
doc_0132,10.1016/j.chempr.2020.08.026,10.1016/j.chempr.2020.08.026,lib1,classA,124,both,both,0.78,ok
doc_0133,10.1016/j.chempr.2021.01.007,10.1016/j.chempr.2021.01.007,lib1,classA,119,other_reaction,other_reaction,0.92,ok
doc_0134,10.1016/j.joule.2017.09.014,10.1016/j.joule.2017.09.014,lib1,classA,100,unknown,unknown,0.2,ok
doc_0135,10.1016/j.joule.2018.01.014,10.1016/j.joule.2018.01.014,lib1,classA,257,CO2RR,CO2RR,0.95,ok
doc_0136,10.1016/j.joule.2018.06.019,10.1016/j.joule.2018.06.019,lib1,classA,99,other_reaction,other_reaction,0.8,ok
doc_0137,10.1016/j.joule.2018.09.021,10.1016/j.joule.2018.09.021,lib1,classA,208,CO2RR,CO2RR,0.95,ok
doc_0138,10.1016/j.joule.2018.10.021,10.1016/j.joule.2018.10.021,lib1,classA,22,both,both,0.87,ok
doc_0139,10.1016/j.joule.2018.11.008,10.1016/j.joule.2018.11.008,lib1,classA,82,CO2RR,CO2RR,0.91,ok
doc_0140,10.1016/j.joule.2019.05.007,10.1016/j.joule.2019.05.007,lib1,classA,123,CO2RR,CO2RR,0.92,ok
doc_0141,10.1016/j.joule.2019.05.010,10.1016/j.joule.2019.05.010,lib1,classA,133,unknown,unknown,0.12,ok
doc_0142,10.1016/j.joule.2019.05.017,10.1016/j.joule.2019.05.017,lib1,classA,44,CO2RR,CO2RR,0.95,ok
doc_0143,10.1016/j.joule.2019.05.021,10.1016/j.joule.2019.05.021,lib1,classA,92,CO2RR,CO2RR,0.95,ok
doc_0144,10.1016/j.joule.2019.07.009,10.1016/j.joule.2019.07.009,lib1,classA,89,CO2RR,CO2RR,0.9,ok
doc_0145,10.1016/j.joule.2019.07.021,10.1016/j.joule.2019.07.021,lib1,classA,127,CO2RR,CO2RR,0.94,ok
doc_0146,10.1016/j.joule.2019.09.012,10.1016/j.joule.2019.09.012,lib1,classA,14,CORR,CORR,0.9,ok
doc_0147,10.1016/j.joule.2019.11.014,10.1016/j.joule.2019.11.014,lib1,classA,121,CO2RR,CO2RR,0.95,ok
doc_0148,10.1016/j.joule.2020.04.012,10.1016/j.joule.2020.04.012,lib1,classA,16,CO2RR,CO2RR,0.95,ok
doc_0149,10.1016/j.joule.2020.07.009,10.1016/j.joule.2020.07.009,lib1,classA,106,CO2RR,CO2RR,0.95,ok
doc_0150,10.1016/j.joule.2020.12.004,10.1016/j.joule.2020.12.004,lib1,classA,10,unknown,unknown,0.92,ok
doc_0151,10.1016/j.joule.2021.02.005,10.1016/j.joule.2021.02.005,lib1,classA,38,CO2RR,CO2RR,0.86,ok
doc_0152,10.1016/j.joule.2023.03.005,10.1016/j.joule.2023.03.005,lib1,classA,90,other_reaction,other_reaction,0.95,ok
doc_0153,10.1016/j.nanoen.2014.05.019,10.1016/j.nanoen.2014.05.019,lib1,classA,70,other_reaction,other_reaction,0.9,ok
doc_0154,10.1016/j.nanoen.2017.03.032,10.1016/j.nanoen.2017.03.032,lib1,classA,50,other_reaction,other_reaction,0.86,ok
doc_0155,10.1016/j.nanoen.2018.10.005,10.1016/j.nanoen.2018.10.005,lib1,classA,49,other_reaction,other_reaction,0.93,ok
doc_0156,10.1016/j.nanoen.2019.01.011,10.1016/j.nanoen.2019.01.011,lib1,classA,47,other_reaction,other_reaction,0.92,ok
doc_0157,10.1016/j.nanoen.2019.06.030,10.1016/j.nanoen.2019.06.030,lib1,classA,67,CO2RR,CO2RR,0.98,ok
doc_0158,10.1016/j.nanoen.2020.105125,10.1016/j.nanoen.2020.105125,lib1,classA,61,other_reaction,other_reaction,0.93,ok
doc_0159,10.1021/acs.chemrev.0c00594,10.1021/acs.chemrev.0c00594,lib1,classA,64,non_reaction,non_reaction,0.89,ok
doc_0160,10.1021/acs.chemrev.5b00197,10.1021/acs.chemrev.5b00197,lib1,classA,307,other_reaction,other_reaction,0.86,ok
doc_0161,10.1021/acs.chemrev.6b00816,10.1021/acs.chemrev.6b00816,lib1,classA,10,other_reaction,other_reaction,0.86,ok
doc_0162,10.1021/acs.chemrev.7b00459,10.1021/acs.chemrev.7b00459,lib1,classA,13,CORR,CORR,0.9,ok
doc_0163,10.1021/acs.chemrev.8b00481,10.1021/acs.chemrev.8b00481,lib1,classA,32,CO2RR,CO2RR,0.9,ok
doc_0164,10.1021/acs.chemrev.8b00705,10.1021/acs.chemrev.8b00705,lib1,classA,21,CO2RR,CO2RR,0.95,ok
doc_0165,10.1021/acs.nanolett.0c00639,10.1021/acs.nanolett.0c00639,lib1,classA,89,CO2RR,CO2RR,0.95,ok
doc_0166,10.1021/acs.nanolett.5b03298,10.1021/acs.nanolett.5b03298,lib1,classA,83,unknown,unknown,0.9,ok
doc_0167,10.1021/acs.nanolett.5b04123,10.1021/acs.nanolett.5b04123,lib1,classA,45,CO2RR,CO2RR,0.92,ok
doc_0168,10.1021/acs.nanolett.6b03615,10.1021/acs.nanolett.6b03615,lib1,classA,62,unknown,unknown,0.15,ok
doc_0169,10.1021/acs.nanolett.6b05287,10.1021/acs.nanolett.6b05287,lib1,classA,60,unknown,unknown,0.92,ok
doc_0170,10.1021/acs.nanolett.7b01139,10.1021/acs.nanolett.7b01139,lib1,classA,72,unknown,unknown,0.9,ok
doc_0171,10.1021/acs.nanolett.7b05410,10.1021/acs.nanolett.7b05410,lib1,classA,73,unknown,unknown,0.25,ok
doc_0172,10.1021/acs.nanolett.8b02606,10.1021/acs.nanolett.8b02606,lib1,classA,92,unknown,unknown,0.25,ok
doc_0173,10.1021/acs.nanolett.9b04564,10.1021/acs.nanolett.9b04564,lib1,classA,84,unknown,unknown,0.75,ok
doc_0174,10.1021/acscatal.0c00049,10.1021/acscatal.0c00049,lib1,classA,78,CO2RR,CO2RR,0.95,ok
doc_0175,10.1021/acscatal.0c00243,10.1021/acscatal.0c00243,lib1,classA,96,CO2RR,CO2RR,0.9,ok
doc_0176,10.1021/acscatal.0c00478,10.1021/acscatal.0c00478,lib1,classA,284,CO2RR,CO2RR,0.78,ok
doc_0177,10.1021/acscatal.0c00749,10.1021/acscatal.0c00749,lib1,classA,122,CO2RR,CO2RR,0.9,ok
doc_0178,10.1021/acscatal.0c00936,10.1021/acscatal.0c00936,lib1,classA,97,other_reaction,other_reaction,0.9,ok
doc_0179,10.1021/acscatal.0c01184,10.1021/acscatal.0c01184,lib1,classA,141,other_reaction,other_reaction,0.83,ok
doc_0180,10.1021/acscatal.0c01388,10.1021/acscatal.0c01388,lib1,classA,46,unknown,unknown,0.25,ok
doc_0181,10.1021/acscatal.0c01417,10.1021/acscatal.0c01417,lib1,classA,204,other_reaction,other_reaction,0.92,ok
doc_0183,10.1021/acscatal.0c01880,10.1021/acscatal.0c01880,lib1,classA,73,CORR,CORR,0.97,ok
doc_0184,10.1021/acscatal.0c02325,10.1021/acscatal.0c02325,lib1,classA,144,CO2RR,CO2RR,0.95,ok
doc_0185,10.1021/acscatal.0c02387,10.1021/acscatal.0c02387,lib1,classA,73,CO2RR,CO2RR,0.93,ok
doc_0186,10.1021/acscatal.0c02557,10.1021/acscatal.0c02557,lib1,classA,202,CO2RR,CO2RR,0.92,ok
doc_0187,10.1021/acscatal.0c03108,10.1021/acscatal.0c03108,lib1,classA,98,CORR,CORR,0.92,ok
doc_0188,10.1021/acscatal.0c03319,10.1021/acscatal.0c03319,lib1,classA,102,CO2RR,CO2RR,0.95,ok
doc_0189,10.1021/acscatal.0c03414,10.1021/acscatal.0c03414,lib1,classA,68,non_reaction,non_reaction,0.77,ok
doc_0190,10.1021/acscatal.0c03553,10.1021/acscatal.0c03553,lib1,classA,60,CO2RR,CO2RR,0.9,ok
doc_0191,10.1021/acscatal.0c03609,10.1021/acscatal.0c03609,lib1,classA,111,CO2RR,CO2RR,0.9,ok
doc_0192,10.1021/acscatal.0c03998,10.1021/acscatal.0c03998,lib1,classA,83,CORR,CORR,0.9,ok
doc_0193,10.1021/acscatal.0c04714,10.1021/acscatal.0c04714,lib1,classA,192,CO2RR,CO2RR,0.93,ok
doc_0194,10.1021/acscatal.0c04862,10.1021/acscatal.0c04862,lib1,classA,86,CO2RR,CO2RR,0.92,ok
doc_0195,10.1021/acscatal.0c04878,10.1021/acscatal.0c04878,lib1,classA,79,both,both,0.91,ok
doc_0196,10.1021/acscatal.0c05671,10.1021/acscatal.0c05671,lib1,classA,92,CO2RR,CO2RR,0.92,ok
doc_0197,10.1021/acscatal.1c00338,10.1021/acscatal.1c00338,lib1,classA,76,CO2RR,CO2RR,0.92,ok
doc_0198,10.1021/acscatal.1c00420,10.1021/acscatal.1c00420,lib1,classA,81,CO2RR,CO2RR,0.95,ok
doc_0199,10.1021/acscatal.1c01486,10.1021/acscatal.1c01486,lib1,classA,115,CORR,CORR,0.95,ok
doc_0200,10.1021/acscatal.1c01506,10.1021/acscatal.1c01506,lib1,classA,71,CO2RR,CO2RR,0.93,ok
doc_0201,10.1021/acscatal.1c02646,10.1021/acscatal.1c02646,lib1,classA,65,CO2RR,CO2RR,0.95,ok
doc_0202,10.1021/acscatal.5b00402,10.1021/acscatal.5b00402,lib1,classA,73,CO2RR,CO2RR,0.92,ok
doc_0203,10.1021/acscatal.5b00462,10.1021/acscatal.5b00462,lib1,classA,92,CO2RR,CO2RR,0.95,ok
doc_0204,10.1021/acscatal.5b00808,10.1021/acscatal.5b00808,lib1,classA,56,CO2RR,CO2RR,0.88,ok
doc_0205,10.1021/acscatal.5b00840,10.1021/acscatal.5b00840,lib1,classA,95,CO2RR,CO2RR,0.92,ok
doc_0206,10.1021/acscatal.5b00922,10.1021/acscatal.5b00922,lib1,classA,70,CO2RR,CO2RR,0.91,ok
doc_0207,10.1021/acscatal.5b01165,10.1021/acscatal.5b01165,lib1,classA,56,CO2RR,CO2RR,0.92,ok
doc_0208,10.1021/acscatal.5b01198,10.1021/acscatal.5b01198,lib1,classA,41,non_reaction,non_reaction,0.88,ok
doc_0210,10.1021/acscatal.5b01767,10.1021/acscatal.5b01767,lib1,classA,74,CO2RR,CO2RR,0.92,ok
doc_0211,10.1021/acscatal.5b01967,10.1021/acscatal.5b01967,lib1,classA,156,CO2RR,CO2RR,0.95,ok
doc_0212,10.1021/acscatal.5b02296,10.1021/acscatal.5b02296,lib1,classA,68,other_reaction,other_reaction,0.94,ok
doc_0213,10.1021/acscatal.5b02322,10.1021/acscatal.5b02322,lib1,classA,51,CO2RR,CO2RR,0.95,ok
doc_0214,10.1021/acscatal.5b02543,10.1021/acscatal.5b02543,lib1,classA,163,CO2RR,CO2RR,0.95,ok
doc_0215,10.1021/acscatal.5b02550,10.1021/acscatal.5b02550,lib1,classA,136,CO2RR,CO2RR,0.93,ok
doc_0216,10.1021/acscatal.6b00269,10.1021/acscatal.6b00269,lib1,classA,120,CO2RR,CO2RR,0.95,ok
doc_0217,10.1021/acscatal.6b00770,10.1021/acscatal.6b00770,lib1,classA,132,CO2RR,CO2RR,0.93,ok
doc_0219,10.1021/acscatal.6b01555,10.1021/acscatal.6b01555,lib1,classA,95,CO2RR,CO2RR,0.95,ok
doc_0220,10.1021/acscatal.6b01719,10.1021/acscatal.6b01719,lib1,classA,92,CO2RR,CO2RR,0.9,ok
doc_0221,10.1021/acscatal.6b01805,10.1021/acscatal.6b01805,lib1,classA,117,other_reaction,other_reaction,0.78,ok
doc_0222,10.1021/acscatal.6b02089,10.1021/acscatal.6b02089,lib1,classA,311,CO2RR,CO2RR,0.85,ok
doc_0223,10.1021/acscatal.6b02162,10.1021/acscatal.6b02162,lib1,classA,80,CO2RR,CO2RR,0.94,ok
doc_0224,10.1021/acscatal.6b02181,10.1021/acscatal.6b02181,lib1,classA,195,CO2RR,CO2RR,0.9,ok
doc_0225,10.1021/acscatal.6b02299,10.1021/acscatal.6b02299,lib1,classA,98,CO2RR,CO2RR,0.92,ok
doc_0226,10.1021/acscatal.6b02382,10.1021/acscatal.6b02382,lib1,classA,101,CO2RR,CO2RR,0.92,ok
doc_0227,10.1021/acscatal.6b02984,10.1021/acscatal.6b02984,lib1,classA,46,unknown,unknown,0.05,ok
doc_0228,10.1021/acscatal.6b03147,10.1021/acscatal.6b03147,lib1,classA,84,CO2RR,CO2RR,0.9,ok
doc_0229,10.1021/acscatal.6b03353,10.1021/acscatal.6b03353,lib1,classA,55,CO2RR,CO2RR,0.92,ok
