src,dst,relation,source_doc_id,source_chunk_id,experiment_ref,paper_doc_id,reaction_system,paper_reaction_system
Failure_Mode:Catalyst_deactivation,Cathode:Cu_based_catalysts,caused_by,doc_0790,doc_0790_chunk_075760,,doc_0790,other_reaction,other_reaction
Failure_Mode:Catalyst_deactivation,Cathode:FeTMAP_catalyst,caused_by,doc_0013,doc_0013_chunk_001280,,doc_0013,CO2RR,CO2RR
Failure_Mode:Catalyst_deactivation,Cathode:Fluorine_modified_cobalt_catalyst_on_nickel_foam,caused_by,doc_1482,doc_1482_chunk_133233,,doc_1482,other_reaction,other_reaction
Failure_Mode:Catalyst_deactivation,Cathode:Perovskite_photocathode,caused_by,doc_0898,doc_0898_chunk_085013,,doc_0898,other_reaction,other_reaction
Failure_Mode:Catalyst_deactivation,Cathode:Sn_S_catalyst,caused_by,doc_1056,doc_1056_chunk_099868,,doc_1056,CORR,CORR
Failure_Mode:Catalyst_deactivation_by_Na_site_poisoning,Anode:Zeolite_acid_sites,caused_by,doc_1148,doc_1148_chunk_106762,,doc_1148,CORR,CORR
Failure_Mode:Catalyst_deactivation_by_Na_site_poisoning,Cathode:Na_Fe3O4_nanocatalyst,caused_by,doc_1148,doc_1148_chunk_106762,,doc_1148,CORR,CORR
Failure_Mode:Catalyst_deactivation_during_ambient_pressure_CO2_hydrogenation,Operating_Condition:Ambient_pressure_CO2_hydrogenation,caused_by,doc_1905,doc_1905_chunk_173079,,doc_1905,other_reaction,other_reaction
Failure_Mode:Catalyst_deactivation_for_methanol_formation_by_K_chelation,Electrolyte:0_1_M_KHCO3_electrolyte_with_18_Crown_6,caused_by,doc_0892,doc_0892_chunk_084307,,doc_0892,other_reaction,other_reaction
Failure_Mode:Catalyst_deactivation_from_carbonate_accumulation,Operating_Condition:Electrochemical_N2ORR_at_25_C,caused_by,doc_0713,doc_0713_chunk_068369,,doc_0713,CO2RR,CO2RR
Failure_Mode:Catalyst_deactivation_limits_turnover_rates_at_moderate_overpotentials,Cathode:Au_Cu_bimetallic_nanoparticles_monolayer_on_glassy_carbon,caused_by,doc_2214,doc_2214_chunk_204343,,doc_2214,transferable,both
Failure_Mode:Catalyst_deactivation_over_time,Cathode:Cu_II_supported_TiO2_aerogel_catalyst,caused_by,doc_0038,doc_0038_chunk_003242,,doc_0038,CO2RR,CO2RR
Failure_Mode:Catalyst_deactivation_over_time,Gas_Feed:CO2_with_0_5_vol_O2,caused_by,doc_0038,doc_0038_chunk_003282,,doc_0038,CO2RR,CO2RR
Failure_Mode:Catalyst_degradation,Cathode:FeTMAP_catalyst,caused_by,doc_0013,doc_0013_chunk_001280,,doc_0013,CO2RR,CO2RR
Failure_Mode:Catalyst_degradation,Cathode:Pd_Co_N_C_catalyst,caused_by,doc_0521,doc_0521_chunk_047329,,doc_0521,CO2RR,CO2RR
Failure_Mode:Catalyst_degradation,Operating_Condition:Water_feed_to_anode_only_42_ml_min_1,caused_by,doc_1806,doc_1806_chunk_165019,,doc_1806,other_reaction,other_reaction
Failure_Mode:Catalyst_degradation_and_local_environment_changes,Operating_Condition:Strongly_acidic_conditions_pH_1,caused_by,doc_2040,doc_2040_chunk_187309,,doc_2040,CO2RR,CO2RR
Failure_Mode:Catalyst_degradation_by_Ir_surface_oxidation_and_dissolution,Anode:Ir_D_ATO_catalyst,caused_by,doc_1545,doc_1545_chunk_139675,,doc_1545,other_reaction,other_reaction
Failure_Mode:Catalyst_degradation_by_dissolution_and_detachment,Anode:Ir_D_ATO_catalyst_layer,caused_by,doc_2376,doc_2376_chunk_218936,,doc_2376,CO2RR,CO2RR
Failure_Mode:Catalyst_degradation_with_decreased_formic_acid_selectivity_and_increased_hydrogen_production_after_8_h,Cathode:BiOBr_catalyst,caused_by,doc_2552,doc_2552_chunk_236952,,doc_2552,CO2RR,CO2RR
Failure_Mode:Catalyst_delamination_at_CO_flow_rates_50_sccm,Operating_Condition:Temperature_20_C,caused_by,doc_1785,doc_1785_chunk_163298,,doc_1785,CO2RR,CO2RR
Failure_Mode:Catalyst_detachment,Cathode:Copper_I_oxide_cubes,caused_by,doc_0445,doc_0445_chunk_040025,,doc_0445,CO2RR,CO2RR
Failure_Mode:Catalyst_detachment,Cathode:GDE,caused_by,doc_1852,doc_1852_chunk_168578,,doc_1852,other_reaction,other_reaction
Failure_Mode:Catalyst_detachment,Cathode:Photocathode,caused_by,doc_1202,doc_1202_chunk_110377,,doc_1202,CO2RR,CO2RR
Failure_Mode:Catalyst_detachment,Operating_Condition:Potential_1_1_V_RHE,caused_by,doc_0445,doc_0445_chunk_040046,,doc_0445,CO2RR,CO2RR
Failure_Mode:Catalyst_layer_delamination,Cathode:GDE,caused_by,doc_0938,doc_0938_chunk_089922,,doc_0938,other_reaction,other_reaction
Failure_Mode:Catalyst_leaching_causing_subtle_decay_in_catalytic_activity,Anode:Ti_and_carbon_electrodes_with_organocatalyst_RCON_H_4_0_mg_cm2_loading,caused_by,doc_0798,doc_0798_chunk_076385,,doc_0798,CO2RR,CO2RR
